Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Segment,Postal Code,Product ID,Sales,Quantity,Discount,Profit
3,CA-2013-138688,2013-06-13,2013-06-17,Second Class,DV-13045,Corporate,90004,OFF-LA-10000240,14.62,2,0,6.8714
6,CA-2011-115812,2011-06-09,2011-06-14,Standard Class,BH-11710,Consumer,90004,FUR-FU-10001487,48.86,7,0,14.1694
7,CA-2011-115812,2011-06-09,2011-06-14,Standard Class,BH-11710,Consumer,90004,OFF-AR-10002833,7.28,4,0,1.9656
8,CA-2011-115812,2011-06-09,2011-06-14,Standard Class,BH-11710,Consumer,90004,TEC-PH-10002275,907.152,6,0.2,90.7152
9,CA-2011-115812,2011-06-09,2011-06-14,Standard Class,BH-11710,Consumer,90004,OFF-BI-10003910,18.504,3,0.2,5.7825
10,CA-2011-115812,2011-06-09,2011-06-14,Standard Class,BH-11710,Consumer,90004,OFF-AP-10002892,114.9,5,0,34.47
11,CA-2011-115812,2011-06-09,2011-06-14,Standard Class,BH-11710,Consumer,90004,FUR-TA-10001539,1706.184,9,0.2,85.3092
12,CA-2011-115812,2011-06-09,2011-06-14,Standard Class,BH-11710,Consumer,90004,TEC-PH-10002033,911.424,4,0.2,68.3568
14,CA-2013-161389,2013-12-06,2013-12-11,Standard Class,IM-15070,Consumer,98103,OFF-BI-10003656,407.976,3,0.2,132.5922
18,CA-2011-167164,2011-05-13,2011-05-15,Second Class,AG-10270,Consumer,84084,OFF-ST-10000107,55.5,2,0,9.99
19,CA-2011-143336,2011-08-27,2011-09-01,Second Class,ZD-21925,Consumer,94109,OFF-AR-10003056,8.56,2,0,2.4824
20,CA-2011-143336,2011-08-27,2011-09-01,Second Class,ZD-21925,Consumer,94109,TEC-PH-10001949,213.48,3,0.2,16.011
21,CA-2011-143336,2011-08-27,2011-09-01,Second Class,ZD-21925,Consumer,94109,OFF-BI-10002215,22.72,4,0.2,7.384
25,CA-2012-106320,2012-09-25,2012-09-30,Standard Class,EB-13870,Consumer,84057,FUR-TA-10000577,1044.63,3,0,240.2649
26,CA-2013-121755,2013-01-16,2013-01-20,Second Class,EH-13945,Consumer,90004,OFF-BI-10001634,11.648,2,0.2,4.2224
27,CA-2013-121755,2013-01-16,2013-01-20,Second Class,EH-13945,Consumer,90004,TEC-AC-10003027,90.57,3,0,11.7741
43,CA-2013-101343,2013-07-18,2013-07-23,Standard Class,RA-19885,Corporate,90004,OFF-ST-10003479,77.88,2,0,3.894
63,CA-2012-135545,2012-11-24,2012-11-30,Standard Class,KM-16720,Consumer,90004,TEC-AC-10004633,13.98,2,0,6.1512
64,CA-2012-135545,2012-11-24,2012-11-30,Standard Class,KM-16720,Consumer,90004,OFF-BI-10001078,25.824,6,0.2,9.3612
65,CA-2012-135545,2012-11-24,2012-11-30,Standard Class,KM-16720,Consumer,90004,OFF-PA-10003892,146.73,3,0,68.9631
66,CA-2012-135545,2012-11-24,2012-11-30,Standard Class,KM-16720,Consumer,90004,FUR-FU-10000397,79.76,4,0,22.3328
68,CA-2011-106376,2011-12-05,2011-12-10,Standard Class,BS-11590,Corporate,85234,OFF-AR-10002671,1113.024,8,0.2,111.3024
69,CA-2011-106376,2011-12-05,2011-12-10,Standard Class,BS-11590,Corporate,85234,TEC-PH-10002726,167.968,4,0.2,62.988
82,CA-2011-139451,2011-10-12,2011-10-16,Standard Class,DN-13690,Consumer,94109,OFF-AR-10002053,14.9,5,0,4.172
83,CA-2011-139451,2011-10-12,2011-10-16,Standard Class,DN-13690,Consumer,94109,OFF-ST-10002370,21.39,1,0,6.2031
90,CA-2013-109806,2013-09-18,2013-09-23,Standard Class,JS-15685,Corporate,90004,OFF-AR-10004930,20.1,3,0,6.633
91,CA-2013-109806,2013-09-18,2013-09-23,Standard Class,JS-15685,Corporate,90004,TEC-PH-10004093,73.584,2,0.2,8.2782
92,CA-2013-109806,2013-09-18,2013-09-23,Standard Class,JS-15685,Corporate,90004,OFF-PA-10000304,6.48,1,0,3.1104
96,US-2014-109484,2014-11-07,2014-11-13,Standard Class,RB-19705,Home Office,97206,OFF-BI-10004738,5.682,1,0.7,-3.788
98,CA-2014-157833,2014-06-18,2014-06-21,First Class,KD-16345,Consumer,94109,OFF-BI-10001721,51.312,3,0.2,17.9592
104,US-2012-156867,2012-11-13,2012-11-17,Standard Class,LC-16870,Consumer,80013,TEC-AC-10001552,238.896,6,0.2,-26.8758
105,US-2012-156867,2012-11-13,2012-11-17,Standard Class,LC-16870,Consumer,80013,FUR-FU-10004006,102.36,3,0.2,-3.8385
106,US-2012-156867,2012-11-13,2012-11-17,Standard Class,LC-16870,Consumer,80013,OFF-BI-10002794,36.882,3,0.7,-25.8174
